2022-03-07 09:30:38,891 [1] INFO  Photon.StarDust.Client.Program - Starting 5 games with 3 players
2022-03-07 09:30:39,337 [7] INFO  Photon.StarDust.Client.Program - [23444] Started game DESKTOP-N1G7OBO(23444)1 with 3 clients
2022-03-07 09:30:39,744 [7] INFO  Photon.StarDust.Client.Program - [23444] Started game DESKTOP-N1G7OBO(23444)2 with 3 clients
2022-03-07 09:31:31,310 [5] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:32,310 [41] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:33,314 [32] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:34,322 [15] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:35,328 [32] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:36,333 [42] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:37,336 [5] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:38,343 [32] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:39,353 [17] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:40,365 [33] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:41,376 [33] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:42,389 [40] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:43,404 [17] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:44,415 [35] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
